field_id	message_type_id	tag	field_name	is_mandatory	content_options	sequence	created_at	updated_at
25	1	44E	Port of Loading/Airport of Departure	0	65x	25	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
26	1	44F	Port of Discharge/Airport of Destination	0	65x	26	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
27	1	44B	Place of Final Destination/For Transportation to .../Place of Delivery	0	65x	27	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
28	1	44C	Latest Date of Shipment	0	6!n	28	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
29	1	44D	Shipment Period	0	6*65x	29	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
30	1	45A	Description of Goods and/or Services	1	100*65x	30	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
31	1	46A	Documents Required	1	100*65x	31	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
32	1	47A	Additional Conditions	0	100*65x	32	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
33	1	49G	Special Payment Conditions for Receiving Bank	0	100*65x	33	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
34	1	49H	Special Payment Conditions for Drawee Bank	0	100*65x	34	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
35	1	71D	Charges	0	6*35x	35	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
36	1	48	Period for Presentation	0	4*35x	36	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
37	1	49	Confirmation Instructions	0	7!x	37	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
38	1	58A	Requested Confirmation Party	0	[/1!a][/34x]4!a2!a2!c[3!c]	38	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
39	1	58D	Requested Confirmation Party	0	4*35x	39	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
40	1	53A	Reimbursing Bank	0	[/1!a][/34x]4!a2!a2!c[3!c]	40	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
41	1	53D	Reimbursing Bank	0	4*35x	41	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
42	1	78	Instructions to the Paying/Accepting/Negotiating Bank	0	12*65x	42	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
43	1	57A	Advise Through Bank	0	[/1!a][/34x]4!a2!a2!c[3!c]	43	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
44	1	57B	Advise Through Bank	0	[/1!a]/34x	44	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
45	1	57D	Advise Through Bank	0	4*35x	45	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
46	1	72Z	Sender to Receiver Information	0	6*35x	46	2025-05-29 17:08:13.470	2025-05-29 17:08:13.470
47	2	27	Sequence of Total	1	1/1	1	2025-05-29 17:10:48.183	2025-05-29 17:10:48.183
48	2	20	Documentary Credit Number	1	16x	2	2025-05-29 17:10:48.183	2025-05-29 17:10:48.183
49	2	45A	Description of Goods and/or Services	0	100*65z	3	2025-05-29 17:10:48.183	2025-05-29 17:10:48.183
50	2	46A	Documents Required	0	100*65z	4	2025-05-29 17:10:48.183	2025-05-29 17:10:48.183
51	2	47A	Additional Conditions	0	100*65z	5	2025-05-29 17:10:48.183	2025-05-29 17:10:48.183
52	2	49G	Special Payment Conditions for Beneficiary	0	100*65z	6	2025-05-29 17:10:48.183	2025-05-29 17:10:48.183
53	2	49H	Special Payment Conditions for Receiving Bank	0	100*65z	7	2025-05-29 17:10:48.183	2025-05-29 17:10:48.183
54	3	40A	Form of Documentary Credit	1	24x	1	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
55	3	20	Documentary Credit Number	1	16x	2	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
56	3	31D	Date and Place of Expiry	1	6!n29x	3	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
57	3	50	Applicant	1	4*35x	4	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
58	3	59	Beneficiary	1	[/34x]4*35x	5	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
59	3	32B	Currency Code, Amount	1	3!a15d	6	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
60	3	39A	Percentage Credit Amount Tolerance	0	2n/2n	7	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
61	3	39C	Additional Amounts Covered	0	4*35x	8	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
62	3	41a	Available With ... By ...	0	A or D	9	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
63	3	44A	Place of Taking in Charge/Dispatch from .../Place of Receipt	0	65x	10	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
64	3	44E	Port of Loading/Airport of Departure	0	65x	11	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
65	3	44F	Port of Discharge/Airport of Destination	0	65x	12	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
66	3	44B	Place of Final Destination/For Transportation to .../Place of Delivery	0	65x	13	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
67	3	44C	Latest Date of Shipment	0	6!n	14	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
68	3	44D	Shipment Period	0	6*65x	15	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
69	3	45A	Description of Goods and/or Services	0	100*65z	16	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
70	3	57a	Advise Through Bank	0	A, B, or D	17	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
71	3	79Z	Narrative	0	35*50z	18	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
72	3	72Z	Sender to Receiver Information	0	6*35z	19	2025-05-29 17:14:41.940	2025-05-29 17:14:41.940
73	4	27	Sequence of Total	1	1!n/1!n	1	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
74	4	20	Sender's Reference	1	16x	2	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
75	4	21	Receiver's Reference	1	16x	3	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
76	4	23	Issuing Bank's Reference	1	16x	4	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
77	4	52a	Issuing Bank	0	A or D	5	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
78	4	50B	Non-Bank Issuer	0	4*35x	6	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
79	4	31C	Date of Issue	1	6!n	7	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
80	4	26E	Number of Amendment	1	3n	8	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
81	4	30	Date of Amendment	1	6!n	9	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
82	4	22A	Purpose of Message	1	4!c	10	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
83	4	23S	Cancellation Request	0	6!a	11	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
84	4	40A	Form of Documentary Credit	0	24x	12	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
85	4	40E	Applicable Rules	0	30x[/35x]	13	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
86	4	31D	Date and Place of Expiry	0	6!n29x	14	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
87	4	50	Changed Applicant Details	0	4*35x	15	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
88	4	59	Beneficiary	0	[/34x]4*35x	16	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
89	4	32B	Increase of Documentary Credit Amount	0	3!a15d	17	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
90	4	33B	Decrease of Documentary Credit Amount	0	3!a15d	18	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
91	4	39A	Percentage Credit Amount Tolerance	0	2n/2n	19	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
92	4	39C	Additional Amounts Covered	0	4*35x	20	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
93	4	41a	Available With ... By ...	0	A or D	21	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
94	4	42C	Drafts at ...	0	3*35x	22	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
95	4	42a	Drawee	0	A or D	23	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
96	4	42M	Mixed Payment Details	0	4*35x	24	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
97	4	42P	Deferred Payment Details	0	4*35x	25	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
98	4	43P	Partial Shipments	0	11x	26	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
99	4	43T	Transhipment	0	11x	27	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
100	4	44A	Place of Taking in Charge/Dispatch from .../Place of Receipt	0	65x	28	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
101	4	44E	Port of Loading/Airport of Departure	0	65x	29	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
102	4	44F	Port of Discharge/Airport of Destination	0	65x	30	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
103	4	44B	Place of Final Destination/For Transportation to .../Place of Delivery	0	65x	31	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
104	4	44C	Latest Date of Shipment	0	6!n	32	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
105	4	44D	Shipment Period	0	6*65x	33	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
106	4	45A	Description of Goods and/or Services	0	100*65z	34	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
107	4	46A	Documents Required	0	100*65z	35	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
108	4	47A	Additional Conditions	0	100*65z	36	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
109	4	49G	Special Payment Conditions for Beneficiary	0	100*65z	37	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
110	4	49H	Special Payment Conditions for Receiving Bank	0	100*65z	38	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
111	4	71D	Charges	0	6*35z	39	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
112	4	48	Period for Presentation	0	3n[/35x]	40	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
113	4	49	Confirmation Instructions	0	7!x	41	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
114	4	58a	Requested Confirmation Party	0	A or D	42	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
115	4	53a	Reimbursing Bank	0	A or D	43	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
116	4	78	Instructions to the Paying/Accepting/Negotiating Bank	0	12*65x	44	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
117	4	57a	Advise Through Bank	0	A, B, or D	45	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
118	4	72Z	Sender to Receiver Information	0	6*35z	46	2025-05-29 17:20:52.043	2025-05-29 17:20:52.043
119	5	27	Sequence of Total	1	1!n/1!n	1	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
120	5	20	Sender's Reference	1	16x	2	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
121	5	21	Receiver's Reference	1	16x	3	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
122	5	23	Issuing Bank's Reference	1	16x	4	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
123	5	26E	Number of Amendment	1	3n	5	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
124	5	45A	Description of Goods and/or Services	0	100*65z	6	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
125	5	46A	Documents Required	0	100*65z	7	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
126	5	47A	Additional Conditions	0	100*65z	8	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
127	5	49G	Special Payment Conditions for Beneficiary	0	100*65z	9	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
128	5	49H	Special Payment Conditions for Receiving Bank	0	100*65z	10	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
129	5	78	Instructions to the Paying/Accepting/Negotiating Bank	0	12*65x	11	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
130	5	72Z	Sender to Receiver Information	0	6*35z	12	2025-05-29 17:25:00.573	2025-05-29 17:25:00.573
131	6	27	Sequence of Total	1	1!n/1!n	1	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
132	6	40B	Form of Documentary Credit	1	24x	2	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
133	6	20	Sender's Reference	1	16x	3	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
134	6	21	Documentary Credit Number	1	16x	4	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
135	6	23	Reference to Pre-Advice	0	16x	5	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
136	6	31C	Date of Issue	1	6!n	6	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
137	6	40E	Applicable Rules	1	30x[/35x]	7	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
138	6	31D	Date and Place of Expiry	1	6!n29x	8	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
139	6	51a	Applicant Bank	0	A or D	9	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
140	6	50	Applicant	1	4*35x	10	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
141	6	59	Beneficiary	1	[/34x]4*35x	11	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
142	6	32B	Currency Code, Amount	1	3!a15d	12	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
143	6	39A	Percentage Credit Amount Tolerance	0	2n/2n	13	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
144	6	39C	Additional Amounts Covered	0	4*35x	14	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
145	6	41a	Available With ... By ...	1	A or D	15	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
146	6	42C	Drafts at ...	0	3*35x	16	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
147	6	42a	Drawee	0	A or D	17	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
148	6	42M	Mixed Payment Details	0	4*35x	18	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
149	6	42P	Deferred Payment Details	0	4*35x	19	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
150	6	43P	Partial Shipments	0	11x	20	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
151	6	43T	Transhipment	0	11x	21	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
152	6	44A	Place of Taking in Charge/Dispatch from .../Place of Receipt	0	65x	22	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
153	6	44E	Port of Loading/Airport of Departure	0	65x	23	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
154	6	44F	Port of Discharge/Airport of Destination	0	65x	24	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
155	6	44B	Place of Final Destination/For Transportation to .../Place of Delivery	0	65x	25	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
156	6	44C	Latest Date of Shipment	0	6!n	26	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
157	6	44D	Shipment Period	0	6*65x	27	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
158	6	45A	Description of Goods and/or Services	0	100*65z	28	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
159	6	46A	Documents Required	0	100*65z	29	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
160	6	47A	Additional Conditions	0	100*65z	30	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
161	6	49G	Special Payment Conditions for Beneficiary	0	100*65z	31	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
162	6	49H	Special Payment Conditions for Receiving Bank	0	100*65z	32	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
163	6	71D	Charges	0	6*35z	33	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
164	6	48	Period for Presentation	0	3n[/35x]	34	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
165	6	49	Confirmation Instructions	0	7!x	35	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
166	6	58a	Requested Confirmation Party	0	A or D	36	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
167	6	53a	Reimbursing Bank	0	A or D	37	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
168	6	78	Instructions to the Paying/Accepting/Negotiating Bank	0	12*65x	38	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
169	6	57a	Advise Through Bank	0	A, B, or D	39	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
170	6	72Z	Sender to Receiver Information	0	6*35z	40	2025-05-29 17:30:00.523	2025-05-29 17:30:00.523
171	7	27	Sequence of Total	1	1!n/1!n	1	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
172	7	20	Sender's Reference	1	16x	2	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
173	7	21	Documentary Credit Number	1	16x	3	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
174	7	45A	Description of Goods and/or Services	0	100*65z	4	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
175	7	46A	Documents Required	0	100*65z	5	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
176	7	47A	Additional Conditions	0	100*65z	6	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
177	7	49G	Special Payment Conditions for Beneficiary	0	100*65z	7	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
178	7	49H	Special Payment Conditions for Receiving Bank	0	100*65z	8	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
179	7	78	Instructions to the Paying/Accepting/Negotiating Bank	0	12*65x	9	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
180	7	72Z	Sender to Receiver Information	0	6*35z	10	2025-05-29 17:32:03.933	2025-05-29 17:32:03.933
181	8	27	Sequence of Total	1	1!n/1!n	1	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
182	8	40B	Form of Documentary Credit	1	24x	2	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
183	8	20	Transferring Bank's Reference	1	16x	3	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
184	8	21	Documentary Credit Number	1	16x	4	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
185	8	31C	Date of Issue	1	6!n	5	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
186	8	40E	Applicable Rules	1	30x[/35x]	6	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
187	8	31D	Date and Place of Expiry	1	6!n29x	7	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
188	8	52a	Issuing Bank of the Original Documentary Credit	0	A or D	8	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
189	8	50B	Non-Bank Issuer of the Original Documentary Credit	0	4*35x	9	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
190	8	50	First Beneficiary	1	4*35x	10	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
191	8	59	Second Beneficiary	1	[/34x]4*35x	11	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
192	8	32B	Currency Code, Amount	1	3!a15d	12	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
193	8	39A	Percentage Credit Amount Tolerance	0	2n/2n	13	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
194	8	39C	Additional Amounts Covered	0	4*35x	14	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
195	8	41a	Available With ... By ...	1	A or D	15	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
196	8	42C	Drafts at ...	0	3*35x	16	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
197	8	42a	Drawee	0	A or D	17	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
198	8	42M	Mixed Payment Details	0	4*35x	18	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
199	8	42P	Negotiation/Deferred Payment Details	0	4*35x	19	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
200	8	43P	Partial Shipments	0	11x	20	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
201	8	43T	Transhipment	0	11x	21	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
202	8	44A	Place of Taking in Charge/Dispatch from .../Place of Receipt	0	65x	22	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
203	8	44E	Port of Loading/Airport of Departure	0	65x	23	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
204	8	44F	Port of Discharge/Airport of Destination	0	65x	24	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
205	8	44B	Place of Final Destination/For Transportation to .../Place of Delivery	0	65x	25	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
206	8	44C	Latest Date of Shipment	0	6!n	26	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
207	8	44D	Shipment Period	0	6*65x	27	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
208	8	45A	Description of Goods and/or Services	0	100*65z	28	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
209	8	46A	Documents Required	0	100*65z	29	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
210	8	47A	Additional Conditions	0	100*65z	30	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
211	8	49G	Special Payment Conditions for Beneficiary	0	100*65z	31	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
212	8	49H	Special Payment Conditions for Receiving Bank	0	100*65z	32	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
213	8	71D	Charges	0	6*35z	33	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
214	8	48	Period for Presentation in Days	0	3n[/35x]	34	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
215	8	49	Confirmation Instructions	1	7!x	35	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
216	8	58a	Requested Confirmation Party	0	A or D	36	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
217	8	78	Instructions to the Paying/Accepting/Negotiating Bank	0	12*65x	37	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
218	8	57a	Advise Through Bank	0	A, B, or D	38	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
219	8	72Z	Sender to Receiver Information	0	6*35z	39	2025-05-29 17:33:56.277	2025-05-29 17:33:56.277
220	9	27	Sequence of Total	1	1!n/1!n	1	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
221	9	20	Transferring Bank's Reference	1	16x	2	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
222	9	21	Documentary Credit Number	1	16x	3	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
223	9	45A	Description of Goods and/or Services	0	100*65z	4	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
224	9	46A	Documents Required	0	100*65z	5	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
225	9	47A	Additional Conditions	0	100*65z	6	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
226	9	49G	Special Payment Conditions for Beneficiary	0	100*65z	7	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
227	9	49H	Special Payment Conditions for Receiving Bank	0	100*65z	8	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
228	9	78	Instructions to the Paying/Accepting/Negotiating Bank	0	12*65x	9	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
229	9	72Z	Sender to Receiver Information	0	6*35z	10	2025-05-29 17:35:56.813	2025-05-29 17:35:56.813
230	10	20	Sender's Reference	1	16x	1	2025-05-29 17:44:27.263	2025-05-29 17:44:27.263
231	10	21	Receiver's Reference	1	16x	2	2025-05-29 17:44:27.263	2025-05-29 17:44:27.263
232	10	23	Issuing Bank's Reference	0	16x	3	2025-05-29 17:44:27.263	2025-05-29 17:44:27.263
233	10	52a	Issuing Bank	0	A or D	4	2025-05-29 17:44:27.263	2025-05-29 17:44:27.263
234	10	53a	Reimbursing Bank	0	A or D	5	2025-05-29 17:44:27.263	2025-05-29 17:44:27.263
235	10	72Z	Sender to Receiver Information	0	6*35z	6	2025-05-29 17:44:27.263	2025-05-29 17:44:27.263
236	11	20	Sender's Reference	1	16x	1	2025-05-29 17:44:27.327	2025-05-29 17:44:27.327
237	11	21	Related Reference	1	16x	2	2025-05-29 17:44:27.327	2025-05-29 17:44:27.327
238	11	23	Issuing Bank's Reference	0	16x	3	2025-05-29 17:44:27.327	2025-05-29 17:44:27.327
239	11	30	Date	1	6!n	4	2025-05-29 17:44:27.327	2025-05-29 17:44:27.327
240	11	26E	Number of Amendment	0	3n	5	2025-05-29 17:44:27.327	2025-05-29 17:44:27.327
241	11	32B	Currency Code, Amount	0	3!a15d	6	2025-05-29 17:44:27.327	2025-05-29 17:44:27.327
242	11	33A	Currency Code, Amount, Date	0	3!a15d6!n	7	2025-05-29 17:44:27.327	2025-05-29 17:44:27.327
